City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,alofi,-19.0595,-169.9187,82.29,83,75,2.3,NU,1681950342
83,bilibino,68.0546,166.4372,29.86,84,100,3.2,RU,1681950342
84,margaret river,-33.95,115.0667,57.65,57,0,7.94,AU,1681950342
85,san antonio de pale,-1.4014,5.6325,82.76,82,99,9.66,GQ,1681950342
86,douentza,14.9951,-2.9517,86.4,8,86,3.85,ML,1681950342
87,bredasdorp,-34.5322,20.0403,61.27,67,100,4.74,ZA,1681950343
88,aasiaat,68.7098,-52.8699,5.02,93,76,2.55,GL,1681950343
89,trancas,-26.2314,-65.2803,59.72,68,0,1.32,AR,1681950343
90,urangan,-25.3,152.9,75.2,62,25,18.79,AU,1681950343
91,tual,-5.6667,132.75,82.9,72,48,9.4,ID,1681950343
92,crucecita,-28.95,-58.9833,61.47,50,1,6.82,AR,1681950343
93,puerto armuelles,8.2833,-82.8667,82.38,76,61,2.82,PA,1681950344
94,kerikeri,-35.2268,173.9474,70.92,96,90,1.01,NZ,1681950344
95,nar'yan-mar,67.6713,53.087,31.84,97,100,13.04,RU,1681950344
96,bonthe,7.5264,-12.505,81.48,83,39,3.96,SL,1681950344
97,lihue,21.9789,-159.3672,80.74,68,40,16.11,US,1681950345
98,kailua-kona,19.6406,-155.9956,75.51,93,100,31.07,US,1681950345
99,ladik,40.9106,35.8919,43.68,89,90,2.19,TR,1681950345
100,ust-nera,64.5667,143.2,19.02,88,100,8.72,RU,1681950345
101,zakynthos,37.7914,20.8953,55.63,78,0,7.31,GR,1681950345
102,sungailiat,-1.85,106.1333,78.31,89,100,4.18,ID,1681950346
103,saudarkrokur,65.7461,-19.6394,47.37,83,100,13.0,IS,1681950346
104,hohhot,40.8106,111.6522,44.91,29,0,2.24,CN,1681950346
105,sandnessjoen,66.0217,12.6316,43.65,89,98,1.99,NO,1681950346
106,zeya,53.75,127.2667,28.36,68,100,7.94,RU,1681950346
107,mineros,-17.1167,-63.2333,68.68,90,93,6.49,BO,1681950346
108,jamestown,42.097,-79.2353,44.24,61,0,9.22,US,1681950054
109,tukrah,32.5341,20.5791,57.94,74,0,4.85,LY,1681950347
110,mezhdurechenskiy,59.6,65.9333,27.48,68,8,6.22,RU,1681950347
111,whitehorse,60.7161,-135.0538,44.02,52,75,3.44,CA,1681950234
112,qoryooley,1.7878,44.53,81.03,77,92,5.77,SO,1681950347
113,palembang,-2.9167,104.7458,80.69,94,40,2.3,ID,1681950347
114,soledade,-28.8183,-52.5103,45.21,93,87,4.41,BR,1681950347
115,conceicao do araguaia,-8.2578,-49.2647,75.22,89,100,2.08,BR,1681950347
116,lorengau,-2.0226,147.2712,84.56,69,49,5.82,PG,1681950194
117,kingston,17.997,-76.7936,81.55,82,20,14.97,JM,1681950334
118,vorgashor,67.5833,63.95,18.64,97,100,8.21,RU,1681950348
119,puerto baquerizo moreno,-0.9,-89.6,79.25,78,69,4.59,EC,1681950348
120,udachny,66.4167,112.4,16.45,61,99,4.27,RU,1681950348
121,los alamos,35.8881,-106.307,61.65,15,0,20.71,US,1681950348
122,ishigaki,24.3448,124.1572,78.93,94,75,18.41,JP,1681950348
123,luanda,-8.8368,13.2343,75.2,94,75,4.61,AO,1681950349
124,ta`u,-14.2336,-169.5144,83.28,77,89,18.3,AS,1681950349
125,geraldton,-28.7667,114.6,68.41,37,7,17.27,AU,1681950349
126,kathleen,28.1209,-82.0231,78.33,52,20,10.36,US,1681950115
127,moyale,3.5167,39.0584,67.48,84,18,2.08,KE,1681950349
128,oriximina,-1.7656,-55.8661,76.41,90,91,3.22,BR,1681950349
129,isafjordur,66.0755,-23.124,46.2,96,100,9.06,IS,1681950349
130,raja,8.4596,25.678,84.13,44,91,5.28,SS,1681950350
131,nieuw amsterdam,5.8833,-55.0833,78.03,86,48,9.64,SR,1681950350
132,coquimbo,-29.9533,-71.3436,58.73,82,0,6.91,CL,1681950196
133,lincheng,19.9078,109.6858,81.63,82,47,3.04,CN,1681950350
134,sijunjung,-0.6876,100.9537,72.48,95,100,1.1,ID,1681950350
135,kayangel,8.0823,134.7173,84.16,73,7,10.33,PW,1681950351
136,klyuchi,52.2667,79.1667,19.15,83,6,6.82,RU,1681950351
137,hamilton,39.1834,-84.5333,75.97,41,0,9.22,US,1681950351
138,bikin,46.8161,134.26,48.24,74,100,13.33,RU,1681950351
139,plettenberg bay,-34.0527,23.3716,64.33,72,99,5.26,ZA,1681950351
140,salida,37.7058,-121.0849,65.97,37,0,11.5,US,1681950351
141,riyadh,24.6877,46.7219,66.34,57,87,3.44,SA,1681950351
142,arraial do cabo,-22.9661,-42.0278,75.58,84,100,8.66,BR,1681950072
143,kavaratti,10.5669,72.642,83.59,71,14,7.7,IN,1681950352
144,kununurra,-15.7667,128.7333,80.58,36,10,19.57,AU,1681950352
145,tacoronte,28.4769,-16.4102,59.83,81,100,10.36,ES,1681950352
146,arkhangel'sk,64.5401,40.5433,35.71,100,100,6.71,RU,1681950255
147,nazca,-14.8333,-74.95,71.64,65,55,5.64,PE,1681950352
148,atafu village,-8.5421,-172.5159,83.05,69,96,3.11,TK,1681950353
149,cerqueira cesar,-23.0356,-49.1661,55.8,78,8,6.42,BR,1681950353
150,san ignacio,17.1561,-89.0714,82.94,57,71,9.62,BZ,1681950353
151,walvis bay,-22.9575,14.5053,65.37,68,2,15.88,NA,1681950353
152,filey,54.21,-0.2892,44.29,89,1,3.0,GB,1681950353
153,nyurba,63.2842,118.3319,21.83,86,83,5.12,RU,1681950353
154,mokopane,-24.1944,29.0097,55.09,61,0,5.61,ZA,1681950354
155,st. john's,47.5649,-52.7093,35.67,95,100,17.27,CA,1681950153
156,sept-iles,50.2001,-66.3821,35.06,98,100,5.75,CA,1681950171
157,constantia,44.1833,28.65,50.7,94,100,13.11,RO,1681950354
158,port shepstone,-30.7414,30.455,68.47,36,0,8.61,ZA,1681950354
159,tolanaro,-25.0319,46.9987,75.27,88,20,9.22,MG,1681950354
160,santa elena de uairen,4.6167,-61.1333,73.85,69,42,1.97,VE,1681950134
161,freetown,8.484,-13.2299,80.31,78,20,9.22,SL,1681950256
162,zaozersk,69.4005,32.4476,37.69,92,100,22.44,RU,1681950355
163,oban,56.4127,-5.4706,44.28,70,0,6.8,GB,1681950355
164,morondava,-20.2833,44.2833,76.28,78,1,1.68,MG,1681950355
165,khandyga,62.6667,135.6,28.27,87,100,4.03,RU,1681950355
166,netishyn,50.34,26.6417,47.26,87,93,6.93,UA,1681950355
167,lai,9.3952,16.2989,90.21,35,76,4.12,TD,1681950355
168,pingshan,22.9938,114.7131,73.53,92,100,1.66,CN,1681950355
169,misratah,32.3754,15.0925,65.82,65,88,18.1,LY,1681950355
170,hasaki,35.7333,140.8333,68.29,88,100,4.29,JP,1681950356
171,lockwood,45.8191,-108.4149,38.64,83,100,24.16,US,1681950356
172,borogontsy,62.6683,131.1683,28.2,90,100,4.38,RU,1681950356
173,papao,-17.75,-149.55,87.48,79,94,15.52,PF,1681950356
174,tabou,4.423,-7.3528,78.96,86,78,2.26,CI,1681950356
175,el alto,-4.2714,-81.2147,77.16,76,94,11.21,PE,1681950356
176,itapira,-22.4361,-46.8217,61.07,86,77,3.51,BR,1681950356
177,keelung,25.1283,121.7419,80.06,88,100,14.5,TW,1681950357
178,tura,25.5198,90.2201,75.06,83,9,7.83,IN,1681950357
179,ulsteinvik,62.3432,5.8487,45.75,83,22,1.01,NO,1681950357
180,tidjikja,18.5564,-11.4271,84.24,18,82,8.99,MR,1681950172
181,mokhsogollokh,61.4681,128.9203,25.7,91,100,8.46,RU,1681950357
182,lerwick,60.1545,-1.1494,44.6,82,17,7.11,GB,1681950358
183,punta arenas,-53.15,-70.9167,42.91,70,0,20.71,CL,1681950113
184,marquette,46.5333,-87.6335,31.44,79,100,4.0,US,1681950358
185,hirara,24.8,125.2833,79.07,89,75,24.16,JP,1681950359
186,argostolion,38.1811,20.489,55.49,87,19,6.76,GR,1681950359
187,avarua,-21.2078,-159.775,78.85,89,75,13.8,CK,1681950359
188,north nowra,-34.8581,150.5828,64.74,76,99,5.01,AU,1681950359
189,mayskiy,47.6931,40.1025,49.41,68,46,12.46,RU,1681950359
190,tsiombe,-25.3,45.4833,71.02,95,74,7.02,MG,1681950360
191,daru,-9.0763,143.2092,83.39,72,73,7.2,PG,1681950360
192,kasongo,-4.45,26.6667,69.01,98,64,3.62,CD,1681950360
193,st. paul,44.9444,-93.0933,43.32,78,100,16.11,US,1681950335
194,tiksi,71.6872,128.8694,-4.36,99,100,4.56,RU,1681950360
195,dakhla,23.6848,-15.958,65.37,87,1,12.01,EH,1681950360
196,selfoss,63.9331,-20.9971,45.09,92,32,5.97,IS,1681950360
197,afaahiti,-17.75,-149.2833,85.87,83,93,16.08,PF,1681950361
198,caleta de carquin,-11.0925,-77.6267,74.91,81,44,11.97,PE,1681950361
199,blacksburg,37.2296,-80.4139,69.78,50,0,3.44,US,1681950361
200,minas de marcona,-15.2119,-75.1103,61.63,79,34,10.58,PE,1681950361
201,mitsamiouli,-11.3847,43.2844,81.3,76,95,8.88,KM,1681950361
202,kyshtovka,56.555,76.6271,23.09,86,54,6.67,RU,1681950131
203,fale old settlement,-9.3852,-171.2468,82.87,69,71,3.58,TK,1681950362
204,hami,42.8,93.45,44.42,17,60,5.68,CN,1681950362
205,port lincoln,-34.7333,135.8667,61.81,57,94,6.55,AU,1681950362
206,grand falls-windsor,48.9332,-55.6649,37.51,93,100,1.01,CA,1681950363
207,luderitz,-26.6481,15.1594,59.59,81,77,7.2,NA,1681950363
208,divnomorskoye,44.5011,38.1353,53.87,95,99,0.65,RU,1681950364
209,sinabang,2.4803,96.3801,80.04,80,99,1.57,ID,1681950364
210,ropazi,56.9739,24.6336,46.54,66,14,7.65,LV,1681950364
211,sitka,57.0531,-135.33,53.49,40,75,11.5,US,1681950365
212,york,40.1254,-77.0,59.79,33,8,3.69,US,1681950365
213,luena,-11.7833,19.9167,66.38,72,5,5.75,AO,1681950366
214,invercargill,-46.4,168.35,58.5,69,90,4.0,NZ,1681950367
215,al 'amarah,31.8406,47.1396,77.77,21,28,6.71,IQ,1681950367
216,utrik,11.2278,169.8474,80.24,77,100,17.78,MH,1681950368
217,flying fish cove,-10.4217,105.6791,80.53,78,80,17.87,CX,1681950368
218,valparaiso,-33.0393,-71.6273,63.0,55,0,4.61,CL,1681950368
219,basco,20.4487,121.9702,79.99,84,44,14.97,PH,1681950369
220,hawaiian paradise park,19.5933,-154.9731,78.89,89,40,14.97,US,1681950370
221,labytnangi,66.6572,66.4183,11.62,93,100,3.98,RU,1681950370
222,puerto aysen,-45.4,-72.7,54.48,99,100,4.43,CL,1681950370
223,ancud,-41.8697,-73.8203,54.79,96,92,4.32,CL,1681950179
224,altamira,-3.2033,-52.2064,74.89,91,100,3.51,BR,1681950371
225,kilindoni,-7.9139,39.6668,79.18,84,100,15.08,TZ,1681950371
226,cidreira,-30.1811,-50.2056,59.29,66,54,16.8,BR,1681950371
227,murghob,38.1702,73.9667,22.87,91,100,3.67,TJ,1681950371
228,vorkuta,67.5,64.0,18.93,97,100,8.01,RU,1681950075
229,rongelap,11.1635,166.8941,79.39,82,100,20.94,MH,1681950372
230,vila franca do campo,37.7167,-25.4333,55.81,86,99,12.24,PT,1681950209
231,cannonvale,-20.2833,148.7,78.19,67,85,15.37,AU,1681950372
232,plastun,44.7561,136.2939,43.47,76,100,3.27,RU,1681950373
233,naze,28.3667,129.4833,70.72,96,100,1.14,JP,1681950373
234,otjiwarongo,-20.4637,16.6477,65.71,48,43,4.99,NA,1681950373
235,barra de santo antonio,-9.4047,-35.5072,78.08,82,20,10.11,BR,1681950373
236,verkhniye kigi,55.4083,58.6044,37.36,92,100,3.83,RU,1681950373
237,hithadhoo,-0.6,73.0833,83.19,72,100,5.55,MV,1681950374
238,nuuk,64.1835,-51.7216,29.88,93,100,10.0,GL,1681950090
239,ilhabela,-23.7781,-45.3581,70.86,79,94,0.34,BR,1681950375
240,navia,43.5354,-6.7194,54.05,85,47,3.38,ES,1681950375
241,iskateley,67.6803,53.1512,31.69,97,100,13.06,RU,1681950375
242,mocoa,1.1493,-76.6466,73.72,99,100,1.36,CO,1681950375
243,leh,34.1667,77.5833,30.29,93,99,5.48,IN,1681950376
244,alesund,62.4723,6.1549,45.75,89,25,11.5,NO,1681950376
245,tari,12.4086,4.4914,88.9,35,72,8.59,NG,1681950376
246,posto fiscal rolim de moura,-13.0833,-62.2667,74.61,96,100,2.21,BR,1681950377
247,nizhnesortymskiy,62.4397,71.7603,26.49,97,100,8.32,RU,1681950377
248,antonio enes,-16.2325,39.9086,74.07,85,17,6.85,MZ,1681950377
249,pocone,-16.2567,-56.6228,74.41,88,97,2.66,BR,1681950377
250,lebanon,36.2081,-86.2911,79.02,42,0,6.91,US,1681950378
251,nouadhibou,20.931,-17.0347,67.98,83,86,16.11,MR,1681950378
252,jiwani,25.05,61.7417,77.9,80,81,11.61,PK,1681950378
253,zarinsk,53.7074,84.9493,18.1,82,98,8.7,RU,1681950378
254,banff,51.1762,-115.5698,42.03,56,100,3.44,CA,1681950379
255,codrington,-38.2667,141.9667,58.42,75,92,9.53,AU,1681950379
256,susuman,62.7833,148.1667,21.07,75,100,10.07,RU,1681950379
257,akureyri,65.6835,-18.0878,51.73,66,0,11.5,IS,1681950380
258,itaituba,-4.2761,-55.9836,75.02,95,95,1.81,BR,1681950380
259,mhamid,29.82,-5.72,72.32,33,10,2.89,MA,1681950380
260,westport,41.1415,-73.3579,54.91,54,0,4.61,US,1681950380
261,launceston,-41.45,147.1667,58.8,79,75,17.27,AU,1681950378
262,xinqing,48.2333,129.5,43.45,63,88,17.11,CN,1681950381
